Cluster	Annual Income (k$)	Gender	Spending Score (1-100)	Age	Silhouette
C1 C2 C3 C4 C5	continuous	Female Male	continuous	continuous	continuous
class					
C4	0.000	Male	0.3878	0.0192	0.528165
C4	0.000	Male	0.8163	0.0577	0.611453
C2	0.00820	Female	0.0510	0.0385	0.563497
C4	0.00820	Female	0.7755	0.0962	0.612862
C2	0.01639	Female	0.3980	0.25	0.537614
C4	0.01639	Female	0.7653	0.0769	0.615805
C2	0.02459	Female	0.0510	0.3269	0.634006
C4	0.02459	Female	0.9490	0.0962	0.621241
C2	0.03279	Male	0.0204	0.8846	0.593824
C4	0.03279	Female	0.7245	0.2308	0.5948
C2	0.03279	Male	0.1327	0.9423	0.572242
C4	0.03279	Female	1.00	0.3269	0.589073
C2	0.04098	Female	0.1429	0.7692	0.610194
C4	0.04098	Female	0.7755	0.1154	0.621987
C2	0.04098	Male	0.1224	0.3654	0.621692
C4	0.04098	Male	0.7959	0.0769	0.621825
C2	0.04918	Female	0.3469	0.3269	0.583177
C4	0.04918	Male	0.6633	0.0385	0.613297
C2	0.06557	Male	0.2857	0.6538	0.586882
C4	0.06557	Female	0.9898	0.3269	0.589855
C2	0.07377	Male	0.3469	0.3269	0.556782
C4	0.07377	Male	0.7347	0.1346	0.619811
C2	0.08197	Female	0.0408	0.5385	0.640042
C4	0.08197	Male	0.7347	0.25	0.604262
C2	0.10656	Female	0.1327	0.6923	0.615393
C4	0.10656	Male	0.8265	0.2115	0.617628
C2	0.10656	Female	0.3163	0.5192	0.605299
C4	0.10656	Male	0.6122	0.3269	0.561979
C2	0.11475	Female	0.3061	0.4231	0.613333
C4	0.11475	Female	0.8776	0.0962	0.63797
C2	0.12295	Male	0.0306	0.8077	0.585776
C4	0.12295	Female	0.7347	0.0577	0.640309
C2	0.14754	Male	0.0306	0.6731	0.59919
C4	0.14754	Male	0.9286	0.00	0.624338
C2	0.14754	Female	0.1327	0.5962	0.617419
C4	0.14754	Female	0.8163	0.0577	0.645289
C2	0.15574	Female	0.1633	0.4615	0.622424
C4	0.15574	Female	0.7347	0.2308	0.622231
C2	0.18033	Female	0.2551	0.3462	0.59155
C4	0.18033	Female	0.7551	0.0385	0.647791
C5	0.18852	Female	0.3469	0.9038	0.538328
C4	0.18852	Male	0.9286	0.1154	0.615886
C2	0.19672	Male	0.3571	0.5769	0.498505
C4	0.19672	Female	0.6122	0.25	0.609247
C2	0.19672	Female	0.2755	0.5962	0.547417
C4	0.19672	Female	0.6531	0.1154	0.640465
C5	0.20492	Female	0.5510	0.6154	0.579039
C4	0.20492	Female	0.4694	0.1731	0.591907
C4	0.20492	Female	0.4184	0.2115	0.558511
C4	0.20492	Female	0.4184	0.25	0.543769
C5	0.22131	Female	0.5204	0.5962	0.581518
C4	0.22131	Male	0.6020	0.2885	0.577815
C4	0.22951	Female	0.5408	0.25	0.597746
C5	0.22951	Male	0.6020	0.7885	0.613122
C5	0.22951	Female	0.4490	0.6154	0.574262
C5	0.22951	Male	0.4082	0.5577	0.541068
C5	0.23770	Female	0.50	0.6346	0.59949
C5	0.23770	Male	0.4592	0.9808	0.60282
C4	0.25410	Female	0.5102	0.1731	0.616342
C5	0.25410	Male	0.4592	0.6731	0.596296
C5	0.25410	Male	0.5612	1.00	0.617674
C4	0.25410	Male	0.5510	0.0192	0.632457
C5	0.26230	Female	0.5204	0.9423	0.62269
C5	0.26230	Female	0.5918	0.6923	0.629863
C5	0.27049	Male	0.5102	0.8654	0.625985
C4	0.27049	Male	0.5918	0.00	0.627499
C5	0.27049	Female	0.50	0.4808	0.578528
C5	0.27049	Female	0.4796	0.9615	0.621511
C4	0.27049	Male	0.5918	0.0192	0.625943
C4	0.27049	Female	0.4694	0.2692	0.564677
C5	0.27869	Male	0.5510	1.00	0.626307
C5	0.27869	Female	0.4184	0.5577	0.594805
C5	0.28689	Female	0.4898	0.8077	0.636884
C5	0.28689	Female	0.5612	0.8077	0.642861
C5	0.31967	Male	0.4694	0.7885	0.635058
C4	0.31967	Male	0.5408	0.1538	0.600956
C5	0.31967	Female	0.5306	0.5192	0.608036
C5	0.31967	Male	0.4796	0.4231	0.54835
C4	0.31967	Female	0.5204	0.0962	0.62159
C5	0.31967	Female	0.4184	0.5962	0.620924
C5	0.31967	Male	0.5102	0.75	0.641017
C4	0.31967	Male	0.5510	0.3846	0.475875
C5	0.31967	Male	0.4082	0.9423	0.625823
C5	0.31967	Female	0.4388	0.5385	0.617724
C4	0.31967	Female	0.5714	0.0577	0.613014
C5	0.31967	Male	0.4592	0.5769	0.618982
C5	0.34426	Female	0.5816	0.7115	0.652922
C4	0.34426	Female	0.5510	0.0769	0.603452
C4	0.35246	Female	0.6020	0.3077	0.531565
C5	0.35246	Female	0.4592	0.6154	0.640924
C5	0.36066	Female	0.5510	0.9615	0.643603
C4	0.36066	Male	0.4082	0.00	0.587016
C5	0.36885	Male	0.4898	0.5769	0.62577
C5	0.36885	Female	0.3980	0.4231	0.573347
C4	0.36885	Female	0.4184	0.2692	0.522904
C4	0.36885	Male	0.5204	0.1154	0.568679
C5	0.36885	Female	0.4694	0.5577	0.633137
C4	0.36885	Female	0.50	0.1731	0.575619
C5	0.37705	Male	0.4184	0.5769	0.606227
C4	0.37705	Male	0.4898	0.0385	0.568099
C4	0.38525	Female	0.4082	0.0962	0.576492
C5	0.38525	Female	0.4796	0.5962	0.633558
C5	0.38525	Male	0.5918	0.9423	0.641698
C4	0.38525	Male	0.5510	0.1538	0.53655
C5	0.38525	Male	0.5612	0.5962	0.611216
C4	0.38525	Female	0.4184	0.0577	0.572492
C5	0.39344	Female	0.50	0.9231	0.640869
C5	0.39344	Male	0.4592	0.6923	0.620392
C5	0.39344	Male	0.4286	0.9615	0.625451
C5	0.39344	Male	0.4796	0.9231	0.632121
C5	0.39344	Male	0.5204	0.9038	0.634891
C4	0.39344	Female	0.5408	0.0192	0.548632
C5	0.40164	Female	0.4184	0.3846	0.537997
C4	0.40164	Male	0.4592	0.0192	0.539695
C4	0.40984	Female	0.4796	0.00	0.546171
C4	0.40984	Female	0.50	0.0192	0.540257
C5	0.40984	Female	0.4286	0.8654	0.622793
C5	0.40984	Female	0.5918	0.5962	0.594013
C5	0.42623	Female	0.4286	0.6346	0.595989
C5	0.42623	Female	0.5714	0.6154	0.597437
C1	0.42623	Male	0.5612	0.1731	0.519765
C3	0.42623	Female	0.3980	0.3846	0.484545
C1	0.44262	Female	0.5816	0.4231	0.497791
C1	0.44262	Male	0.9184	0.4038	0.609587
C3	0.45082	Female	0.2857	0.0962	0.532897
C1	0.45082	Female	0.7755	0.25	0.607149
C3	0.45902	Male	0.3469	0.4808	0.51939
C1	0.45902	Male	0.9592	0.4231	0.614857
C3	0.45902	Male	0.1020	0.7885	0.515285
C1	0.45902	Male	0.7551	0.3846	0.602145
C3	0.45902	Male	0.0816	0.5577	0.580576
C1	0.45902	Male	0.7551	0.4038	0.598845
C3	0.46721	Female	0.3367	0.1346	0.543811
C1	0.46721	Female	0.7143	0.25	0.615386
C3	0.47541	Male	0.0408	0.0385	0.597524
C1	0.47541	Female	0.8878	0.2115	0.633543
C3	0.47541	Female	0.0612	0.50	0.593716
C1	0.47541	Male	0.7347	0.2692	0.623395
C3	0.48361	Male	0.0918	0.0192	0.593656
C1	0.48361	Female	0.7245	0.3269	0.629613
C3	0.49180	Female	0.0408	0.75	0.553188
C1	0.49180	Male	0.9388	0.2692	0.642904
C3	0.500	Female	0.3980	0.1923	0.520004
C1	0.500	Female	0.8776	0.2692	0.65179
C3	0.50820	Male	0.1122	0.1346	0.617788
C1	0.50820	Male	0.9796	0.1923	0.640314
C3	0.50820	Male	0.3571	0.5769	0.546135
C1	0.50820	Female	0.7449	0.2692	0.649027
C3	0.51639	Female	0.2143	0.3077	0.617277
C1	0.51639	Male	0.9082	0.3077	0.654553
C3	0.51639	Male	0.1633	0.4808	0.619779
C1	0.51639	Male	0.8878	0.4038	0.643349
C3	0.51639	Female	0.1939	0.50	0.606278
C1	0.51639	Female	0.7653	0.3846	0.641156
C3	0.51639	Female	0.1531	0.5577	0.603946
C1	0.51639	Female	0.8980	0.1731	0.654094
C3	0.51639	Male	0.00	0.3654	0.63679
C1	0.51639	Female	0.7857	0.2308	0.658555
C3	0.51639	Male	0.00	0.3077	0.638424
C1	0.51639	Female	0.7347	0.2308	0.652882
C3	0.52459	Female	0.3469	0.7308	0.521345
C1	0.52459	Female	0.8367	0.2115	0.662382
C3	0.54098	Male	0.0408	0.0192	0.610028
C1	0.54098	Female	0.9388	0.25	0.665082
C3	0.57377	Male	0.2551	0.6154	0.603719
C1	0.57377	Female	0.7551	0.3462	0.652053
C3	0.58197	Male	0.1939	0.4615	0.63754
C1	0.58197	Female	0.9592	0.2885	0.668791
C3	0.59016	Female	0.2653	0.3462	0.612238
C1	0.59016	Male	0.6327	0.2692	0.608045
C3	0.59016	Male	0.1224	0.4231	0.646764
C1	0.59016	Male	0.7551	0.1923	0.646377
C3	0.59016	Male	0.0918	0.3462	0.646439
C1	0.59016	Male	0.9286	0.3462	0.661962
C3	0.59836	Female	0.1224	0.6538	0.615218
C1	0.59836	Female	0.8673	0.2308	0.668947
C3	0.59836	Male	0.1429	0.7692	0.596344
C1	0.59836	Male	0.6939	0.1731	0.629482
C3	0.63934	Male	0.1327	0.7885	0.598383
C1	0.63934	Male	0.9082	0.3269	0.658718
C3	0.67213	Female	0.3163	0.3654	0.592428
C1	0.67213	Female	0.8673	0.2692	0.662299
C3	0.68033	Male	0.1429	0.5385	0.64047
C1	0.68033	Female	0.8878	0.2115	0.661609
C3	0.68852	Female	0.3878	0.4423	0.565154
C1	0.68852	Male	0.9796	0.2308	0.656611
C3	0.70492	Female	0.2347	0.6923	0.610589
C1	0.70492	Male	0.6837	0.1923	0.61591
C3	0.72131	Female	0.1633	0.4423	0.630389
C1	0.72131	Female	0.8571	0.3462	0.649429
C3	0.72131	Female	0.2245	0.3077	0.607884
C1	0.72131	Female	0.6939	0.2692	0.620042
C3	0.80328	Male	0.0714	0.2885	0.621493
C1	0.80328	Female	0.9184	0.3846	0.638232
C3	0.86066	Female	0.1531	0.5577	0.61421
C1	0.86066	Female	0.7959	0.3269	0.617016
C3	0.90984	Female	0.2755	0.5192	0.583644
C1	0.90984	Male	0.7449	0.2692	0.596551
C3	1.000	Male	0.1735	0.2692	0.577476
C1	1.000	Male	0.8367	0.2308	0.597673
